"(2017, 39)",
"(2017, 40)",
"(2017, 41)",1.0
"(2017, 42)",1.0
"(2017, 43)",1.0
"(2017, 44)",1.040983606557377
"(2017, 45)",1.0
"(2017, 46)",1.1229508196721312
"(2017, 47)",1.0
"(2017, 48)",1.0
"(2017, 49)",1.2459016393442623
"(2017, 50)",1.0283687943262412
"(2017, 51)",1.5081967213114753
"(2017, 52)",1.1448275862068966
"(2018, 1)",1.2485207100591715
"(2018, 2)",1.139344262295082
"(2018, 3)",1.013793103448276
"(2018, 4)",1.2459016393442623
"(2018, 5)",1.1793103448275861
"(2018, 6)",1.5034482758620689
"(2018, 7)",1.3852459016393444
"(2018, 8)",1.5517241379310345
"(2018, 9)",1.5327868852459017
"(2018, 10)",1.6275862068965516
"(2018, 11)",1.8344827586206895
"(2018, 12)",1.9836065573770492
"(2018, 13)",2.075862068965517
"(2018, 14)",1.9754098360655739
"(2018, 15)",2.089655172413793
"(2018, 16)",1.5103448275862068
"(2018, 17)",1.4426229508196722
"(2018, 18)",1.4689655172413794
"(2018, 19)",2.0163934426229506
"(2018, 20)",1.889655172413793
"(2018, 21)",1.9148936170212767
"(2018, 22)",1.8442622950819672
"(2018, 23)",1.6
"(2018, 24)",1.6065573770491803
"(2018, 25)",1.4482758620689655
"(2018, 26)",1.1724137931034482
"(2018, 27)",1.040983606557377
"(2018, 28)",1.3241379310344827
"(2018, 29)",1.2295081967213115
"(2018, 30)",1.4137931034482758
"(2018, 31)",1.4206896551724137
"(2018, 32)",1.4426229508196722
"(2018, 33)",1.3310344827586207
"(2018, 34)",1.360655737704918
"(2018, 35)",1.103448275862069
"(2018, 36)",1.1724137931034482
"(2018, 37)",1.0901639344262295
"(2018, 38)",1.1379310344827587
"(2018, 39)",1.2622950819672132
"(2018, 40)",1.0275862068965518
"(2018, 41)",1.1172413793103448
"(2018, 42)",1.0737704918032787
"(2018, 43)",1.048951048951049
"(2018, 44)",1.0
"(2018, 45)",1.0
"(2018, 46)",1.0689655172413792
"(2018, 47)",1.1475409836065573
"(2018, 48)",1.0344827586206897
"(2018, 49)",1.1229508196721312
"(2018, 50)",1.0
"(2018, 51)",1.0
"(2018, 52)",1.3770491803278688
"(2019, 1)",1.677685950413223
"(2019, 2)",1.8688524590163935
"(2019, 3)",1.5379310344827586
"(2019, 4)",1.0413793103448277
"(2019, 5)",1.0
"(2019, 6)",1.1379310344827587
"(2019, 7)",1.6967213114754098
"(2019, 8)",1.6827586206896552
"(2019, 9)",2.0
"(2019, 10)",1.8442622950819672
"(2019, 11)",1.6413793103448275
"(2019, 12)",1.959016393442623
"(2019, 13)",1.9652777777777777
"(2019, 14)",2.2482758620689656
"(2019, 15)",1.9672131147540983
"(2019, 16)",2.117241379310345
"(2019, 17)",2.6065573770491803
"(2019, 18)",1.8275862068965518
"(2019, 19)",1.6344827586206896
"(2019, 20)",1.7478991596638656
"(2019, 21)",1.4482758620689655
"(2019, 22)",1.5573770491803278
"(2019, 23)",1.806896551724138
"(2019, 24)",1.4137931034482758
"(2019, 25)",1.9262295081967213
"(2019, 26)",1.4827586206896552
"(2019, 27)",1.180327868852459
"(2019, 28)",1.0758620689655172
"(2019, 29)",1.3172413793103448
"(2019, 30)",1.360655737704918
"(2019, 31)",1.2137931034482758
"(2019, 32)",1.3524590163934427
"(2019, 33)",1.282758620689655
"(2019, 34)",1.2137931034482758
"(2019, 35)",1.3114754098360655
"(2019, 36)",1.0758620689655172
"(2019, 37)",1.0163934426229508
"(2019, 38)",1.0
"(2019, 39)",1.055944055944056
"(2019, 40)",1.0
